Date,f_flow
2011-08-12,-13.8836
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-22,0
2011-08-23,0
2011-08-24,13.8569
2011-08-25,0
2011-08-26,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-12,0
2011-09-13,0
2011-09-14,-8.0528
2011-09-15,0
2011-09-16,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,-3.7789
2011-09-23,-13.8782
2011-09-26,0
2011-09-27,0
2011-09-28,-9.3734
2011-09-29,0
2011-09-30,0
2011-10-03,0
2011-10-04,-7.3327
2011-10-05,-9.2785
2011-10-06,-7.5622
2011-10-07,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,5.9831
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,7.9847
2011-10-21,0
2011-10-24,0
2011-10-25,-2.0211
2011-10-26,0
2011-10-27,0
2011-10-28,-7.3632
2011-10-31,4.2275
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,0
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-14,0
2011-11-15,-5.0893
2011-11-16,0
2011-11-17,-6.0473
2011-11-18,-8.9864
2011-11-21,-4.891
2011-11-22,0
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-28,0
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,0
2011-12-05,0
2011-12-06,8.224
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-12,-7.0729
2011-12-13,-3.0097
2011-12-14,-11.9971
2011-12-15,0
2011-12-16,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,0
2011-12-23,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,-7.1927
2012-01-16,-7.1927
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-23,0
2012-01-24,0
2012-01-25,5.2181
2012-01-26,10.5925
2012-01-27,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,8.61
2012-02-03,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,6.534
2012-02-24,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,-3.2535
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-26,-3.2535
2012-03-27,0
2012-03-28,-1.0897000000000001
2012-03-29,-3.2693
2012-03-30,-6.5969999999999995
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,-3.2827
2012-04-06,-3.2827
2012-04-09,0
2012-04-10,-3.2782999999999998
2012-04-11,0
2012-04-12,-3.2962
2012-04-13,0
2012-04-16,0
2012-04-17,-8.754
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,4.209
2012-06-22,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-07-02,0
2012-07-03,6.39
2012-07-04,6.39
2012-07-05,0
2012-07-06,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,2.1705
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
