Date,pmi
2017-03-31,53.3
2017-04-30,52.8
2017-05-31,52.7
2017-06-30,52
2017-07-31,53.3
2017-08-31,52.8
2017-09-30,53.1
2017-10-31,54.6
2017-11-30,53.9
2017-12-31,55.1
2018-01-31,55.5
2018-02-28,55.3
2018-03-31,55.6
2018-04-30,56.5
2018-05-31,56.4
2018-06-30,55.4
2018-07-31,55.3
2018-08-31,54.7
2018-09-30,55.6
2018-10-31,55.7
2018-11-30,55.3
2018-12-31,53.8
2019-01-31,54.9
2019-02-28,53
2019-03-31,52.4
2019-04-30,52.6
2019-05-31,50.5
2019-06-30,50.6
2019-07-31,50.4
2019-08-31,50.3
2019-09-30,51.1
2019-10-31,51.3
2019-11-30,52.6
2019-12-31,52.4
2020-01-31,51.9
2020-02-29,50.8
