Date,pmi
2017-02-28,53.6
2017-03-31,53.8
2017-04-30,53.3
2017-05-31,54.3
2017-06-30,53.9
2017-07-31,52.8
2017-08-31,50.6
2017-09-30,50.8
2017-10-31,53.7
2017-11-30,54.8
2017-12-31,54.2
2018-01-31,51.7
2018-02-28,50.8
2018-03-31,51.5
2018-04-30,52.7
2018-05-31,53.7
2018-06-30,52.9
2018-07-31,50.9
2018-08-31,51.9
2018-09-30,52
2018-10-31,54
2018-11-30,54.2
2018-12-31,53.2
2019-01-31,52.3
2019-02-28,51.9
2019-03-31,51.5
2019-04-30,50.9
2019-05-31,51.2
2019-06-30,51.3
2019-07-31,52.1
2019-08-31,51.9
2019-09-30,51.8
2019-10-31,52.1
2019-11-30,51.4
2019-12-31,51.7
2020-01-31,52.1
