Date,pmi
2017-03-31,52.4
2017-04-30,52.7
2017-05-31,53.1
2017-06-30,52.4
2017-07-31,52.1
2017-08-31,52.2
2017-09-30,52.9
2017-10-31,52.8
2017-11-30,53.6
2017-12-31,54
2018-01-31,54.8
2018-02-28,54.1
2018-03-31,53.1
2018-04-30,53.8
2018-05-31,52.8
2018-06-30,53
2018-07-31,52.3
2018-08-31,52.5
2018-09-30,52.5
2018-10-31,52.9
2018-11-30,52.2
2018-12-31,52.6
2019-01-31,50.3
2019-02-28,48.9
2019-03-31,49.2
2019-04-30,50.2
2019-05-31,49.8
2019-06-30,49.3
2019-07-31,49.4
2019-08-31,49.3
2019-09-30,48.9
2019-10-31,48.4
2019-11-30,48.9
2019-12-31,48.4
2020-01-31,48.8
2020-02-29,47.8
